UnixTimestamp;Microseconds;MilliAmpere;BaseValue
1724369801.929;200;34.00
1724369801.977;200;34.00
1724369802.026;200;34.00
1724369802.076;200;34.00
1724369802.126;200;34.00
1724369802.177;200;34.00
1724369802.227;200;34.00
1724369802.277;200;34.00
1724369802.328;200;34.00
1724369802.377;200;34.00
1724369802.426;200;34.00
1724369802.478;200;34.00
1724369802.527;200;34.00
1724369802.577;200;34.00
1724369802.627;200;34.00
1724369802.677;200;34.00
1724369802.727;200;34.00
1724369802.778;200;34.00
1724369802.827;200;34.00
1724369802.877;200;34.00
1724369802.927;200;34.00
1724369802.978;200;34.00
1724369803.028;200;34.00
1724369803.078;200;34.00
1724369803.127;200;34.00
1724369803.178;200;34.00
1724369803.228;200;34.00
1724369803.281;200;34.00
1724369820.980;300;59.66;48663.21
1724369821.030;300;56.62;43666.93
1724369821.080;300;55.91;42496.93
1724369821.131;300;55.91;42496.93
1724369821.182;300;55.91;42496.93
1724369821.231;300;57.43;44996.93
1724369821.281;300;57.43;44996.93
1724369821.331;300;57.43;44996.93
1724369821.382;300;57.43;44996.93
1724369821.431;300;57.43;44996.93
1724369821.481;300;57.43;44996.93
1724369821.532;300;57.43;44996.93
1724369821.582;300;57.72;45475.60
1724369821.632;300;60.62;50237.60
1724369821.682;300;59.38;48204.13
1724369821.733;300;57.13;44501.27
1724369821.783;300;58.06;46027.80
1724369821.833;300;58.06;46027.80
1724369821.883;300;58.06;46027.80
1724369821.933;300;58.06;46027.80
1724369821.985;300;58.06;46027.80
1724369822.033;300;61.56;51786.73
1724369822.083;300;57.45;45031.13
1724369822.132;300;58.31;46441.80
1724369822.183;300;60.16;49486.07
1724369822.233;300;59.68;48701.80
1724369822.283;300;59.68;48701.80
1724369822.332;300;59.68;48701.80
1724369822.383;300;61.27;51314.93
1724369822.433;300;59.96;49150.33
1724369822.483;300;61.45;51609.00
1724369822.533;300;55.48;41777.60
1724369822.583;300;55.48;41777.60
1724369822.635;300;55.48;41777.60
1724369822.685;300;55.48;41777.60
1724369822.735;300;58.89;47394.80
1724369822.785;300;60.25;49626.54
1724369822.835;300;58.91;47423.13
1724369822.884;300;58.91;47423.13
1724369822.934;300;58.91;47423.13
1724369822.985;300;58.91;47423.13
1724369823.035;300;58.91;47423.13
1724369823.084;300;60.67;50332.46
1724369823.135;300;60.29;49692.87
1724369823.184;300;57.97;45878.87
1724369823.235;300;59.24;47965.60
1724369823.285;300;59.24;47965.60
1724369823.335;300;59.24;47965.60
1724369823.385;300;59.24;47965.60
1724369823.436;300;61.88;52310.80
1724369823.486;300;59.59;48546.67
1724369823.535;300;62.28;52977.20
1724369823.586;300;61.76;52125.40
1724369823.635;300;57.15;44529.00
1724369823.685;300;57.15;44529.00
1724369823.736;300;57.15;44529.00
1724369823.786;300;57.15;44529.00
1724369823.835;300;57.15;44529.00
1724369823.886;300;59.94;49123.60
1724369823.936;300;60.13;49441.73
1724369823.985;300;61.93;52399.93
1724369824.037;300;61.40;51531.67
1724369824.087;300;62.91;54005.27
1724369824.137;300;60.47;49992.54
1724369824.186;300;60.47;49992.54
1724369824.236;300;60.47;49992.54
1724369824.287;300;60.47;49992.54
1724369824.337;300;60.18;49517.54
1724369824.387;300;63.48;54940.40
1724369824.437;300;59.93;49103.27
1724369824.488;300;60.64;50283.07
1724369824.537;300;60.64;50283.07
1724369824.587;300;62.13;52720.07
1724369824.642;300;56.37;43245.67
1724369824.688;300;58.30;46422.00
1724369824.739;300;57.48;45069.73
1724369824.789;300;57.48;45069.73
1724369824.840;300;57.48;45069.73
1724369824.889;300;59.51;48422.33
1724369824.939;300;60.93;50748.46
1724369824.990;300;59.77;48840.46
1724369825.040;300;59.77;48840.46
