UnixTimestamp;Microseconds;MilliAmpere;BaseValue
1739896396.502;400;13.77;35444.40
1739896396.551;400;13.77;35444.40
1739896396.601;400;13.95;35868.00
1739896396.801;400;14.01;36000.54
1739896396.852;400;14.01;36000.54
1739896396.902;400;14.13;36277.33
1739896396.952;400;14.13;36277.33
1739896397.252;400;13.77;35451.20
1739896397.302;400;13.77;35451.20
1739896397.352;400;13.77;35451.20
1739896397.502;400;13.84;35615.73
1739896397.552;400;13.84;35615.73
1739896397.752;400;13.69;35263.20
1739896397.802;400;13.69;35263.20
1739896397.854;400;14.15;36308.54
1739896398.205;400;14.14;36282.40
1739896398.255;400;14.60;37336.67
1739896398.305;400;14.60;37336.67
1739896398.355;400;14.25;36551.07
1739896398.405;400;13.73;35349.87
1739896398.455;400;13.73;35349.87
1739896398.505;400;13.85;35640.54
1739896398.555;400;13.85;35640.54
1739896398.855;400;13.79;35494.13
1739896398.905;400;13.79;35494.13
1739896398.957;400;13.69;35254.00
1739896399.106;400;13.84;35612.80
1739896399.156;400;13.84;35612.80
1739896399.206;400;13.89;35725.87
1739896399.257;400;13.89;35725.87
1739896399.407;400;15.27;38875.20
1739896399.457;400;15.27;38875.20
1739896399.707;400;14.08;36160.27
1739896399.757;400;14.58;37294.67
1739896399.806;400;13.88;35692.20
1739896399.857;400;14.53;37176.54
1739896399.907;400;14.53;37176.54
1739896399.957;400;13.75;35399.73
1739896400.007;400;13.75;35399.73
1739896400.058;400;13.90;35744.00
1739896400.108;400;13.94;35826.13
1739896400.158;400;13.94;35826.13
1739896408.734;400;13.69;35255.33
1739896408.784;400;13.69;35255.33
1739896408.934;400;13.98;35922.13
1739896408.984;400;13.72;35326.40
1739896409.034;400;13.72;35326.40
1739896409.084;400;14.75;37679.27
1739896409.134;400;14.75;37679.27
1739896409.184;400;14.78;37755.20
1739896409.235;400;14.24;36520.00
1739896409.284;400;13.91;35768.80
1739896409.335;400;13.91;35768.80
1739896409.585;400;14.92;38085.46
1739896409.635;400;14.92;38085.46
1739896409.684;400;14.20;36436.13
1739896409.734;400;14.20;36436.13
1739896409.784;400;14.94;38121.00
1739896409.835;400;14.94;38121.00
1739896409.885;400;14.37;36823.20
1739896409.934;400;14.37;36823.20
1739896410.138;400;14.16;36345.07
1739896410.188;400;14.16;36345.07
1739896410.338;400;13.99;35939.46
1739896410.438;400;13.73;35362.67
1739896410.588;400;14.22;36467.07
1739896410.638;400;14.22;36467.07
1739896410.688;400;13.94;35844.40
1739896410.738;400;13.94;35844.40
1739896410.788;400;14.09;36188.00
1739896410.838;400;14.67;37504.00
1739896410.888;400;14.57;37280.54
1739896410.938;400;14.44;36984.00
1739896410.988;400;14.44;36984.00
1739896411.038;400;14.33;36729.33
1739896411.088;400;14.33;36729.33
1739896411.388;400;13.98;35920.73
1739896411.588;400;14.36;36801.33
1739896411.638;400;14.36;36801.33
1739896411.688;400;14.12;36257.93
1739896411.738;400;14.12;36257.93
1739896411.788;400;14.37;36816.67
1739896411.839;400;14.37;36816.67
1739896411.888;400;14.37;36816.67
1739896411.938;400;15.29;38920.67
1739896411.989;400;15.29;38920.67
1739896412.038;400;14.36;36794.93
1739896412.088;400;14.36;36794.93
1739896412.138;400;15.29;38913.80
1739896412.188;400;15.29;38913.80
1739896412.288;400;15.09;38469.46
1739896412.339;400;15.09;38469.46
1739896412.389;400;14.06;36108.13
1739896412.439;400;14.06;36108.13
1739896422.506;400;14.83;37875.73
1739896422.556;400;14.83;37875.73
1739896422.706;400;13.91;35766.40
1739896422.757;400;13.91;35766.40
1739896422.807;400;13.86;35660.67
1739896422.857;400;13.86;35660.67
1739896422.906;400;14.02;36015.73
1739896422.957;400;14.02;36015.73
1739896423.157;400;14.09;36185.60
1739896423.207;400;14.09;36185.60
1739896423.357;400;14.40;36876.67
1739896423.407;400;14.40;36876.67
1739896423.457;400;13.87;35673.07
1739896423.508;400;14.74;37669.00
1739896423.557;400;14.74;37669.00
1739896423.607;400;14.20;36420.27
1739896423.657;400;14.20;36420.27
1739896423.708;400;13.80;35525.33
1739896423.758;400;13.80;35525.33
1739896423.909;400;13.82;35557.27
1739896423.959;400;13.82;35557.27
1739896424.008;400;15.12;38531.67
1739896424.058;400;15.12;38531.67
1739896424.108;400;14.96;38171.73
1739896424.158;400;14.96;38171.73
1739896424.208;400;14.14;36289.60
1739896424.259;400;14.14;36289.60
1739896424.308;400;14.78;37758.93
1739896424.358;400;14.13;36268.54
1739896424.409;400;14.13;36268.54
1739896424.458;400;14.06;36114.93
1739896424.508;400;14.06;36114.93
1739896424.558;400;14.10;36209.40
1739896424.609;400;14.10;36209.40
1739896424.710;400;13.78;35476.27
1739896424.759;400;13.78;35476.27
1739896424.810;400;14.48;37078.40
1739896424.860;400;14.48;37078.40
1739896424.910;400;13.91;35765.33
1739896424.960;400;13.91;35765.33
1739896425.010;400;14.74;37667.07
1739896425.060;400;14.74;37667.07
1739896425.110;400;15.12;38531.46
1739896425.160;400;15.12;38531.46
1739896425.210;400;14.50;37111.46
1739896425.260;400;15.50;39413.60
1739896425.310;400;15.50;39413.60
1739896425.459;400;14.37;36812.93
1739896425.510;400;14.37;36812.93
1739896425.559;400;14.64;37442.13
