UnixTimestamp;Microseconds;MilliAmpere;BaseValue
1726227330.319;500;1.00
1726227330.367;500;1.00
1726227330.417;500;1.00
1726227330.467;500;1.00
1726227330.518;500;1.00
1726227330.568;500;1.00
1726227330.617;500;1.00
1726227330.669;500;1.00
1726227330.719;500;1.00
1726227330.768;500;1.00
1726227330.818;500;1.00
1726227330.868;500;1.00
1726227330.918;500;1.00
1726227330.968;500;1.00
1726227335.095;1;40.00
1726227335.146;1;40.00
1726227335.195;1;40.00
1726227335.246;1;40.00
1726227335.296;1;40.00
1726227335.346;1;40.00
1726227335.396;1;40.00
1726227335.446;1;40.00
1726227335.496;1;40.00
1726227335.546;1;40.00
1726227335.596;1;40.00
1726227335.646;1;40.00
1726227335.695;1;40.00
1726227335.746;1;40.00
1726227335.795;1;40.00
1726227510.907;144;10.00;34525.60
1726227510.956;143;10.00;34508.54
1726227511.007;144;10.00;34574.13
1726227511.056;144;10.00;34574.13
1726227511.107;144;10.00;34574.13
1726227511.156;175;10.00;39180.87
1726227511.206;175;10.00;39180.87
1726227511.256;175;10.00;39180.87
1726227511.306;152;10.00;35771.60
1726227511.357;143;10.00;34451.73
1726227511.407;143;10.00;34451.73
1726227511.457;143;10.00;34451.73
1726227511.508;174;10.00;39041.60
1726227511.557;141;10.00;34139.33
1726227511.607;141;10.00;34139.33
1726227511.657;141;10.00;34139.33
1726227511.707;146;10.00;34867.87
1726227512.007;141;10.00;34157.07
1726227512.057;141;10.00;34157.07
1726227512.107;141;10.00;34157.07
1726227512.207;142;10.00;34280.67
1726227512.257;181;10.00;39950.40
1726227512.308;181;10.00;39950.40
1726227512.357;181;10.00;39950.40
1726227512.458;182;10.00;40125.33
1726227512.508;182;10.00;40125.33
1726227512.558;182;10.00;40125.33
1726227512.608;180;10.00;39873.93
1726227512.658;176;10.00;39238.60
1726227512.708;176;10.00;39227.46
1726227512.758;176;10.00;39227.46
1726227512.808;164;10.00;37580.40
1726227512.858;150;10.00;35515.00
1726227512.908;147;10.00;35036.67
1726227512.958;147;10.00;35036.67
1726227513.008;147;10.00;35036.67
1726227513.058;173;10.00;38895.13
1726227513.109;143;10.00;34378.60
1726227513.158;150;10.00;35460.40
1726227513.208;150;10.00;35460.40
1726227513.258;150;10.00;35460.40
1726227513.308;151;10.00;35637.40
1726227513.358;173;10.00;38772.60
1726227513.408;173;10.00;38772.60
1726227513.458;173;10.00;38772.60
1726227513.558;153;10.00;35956.40
1726227513.609;154;10.00;36068.40
1726227513.658;154;10.00;36068.40
1726227513.708;154;10.00;36068.40
1726227513.759;146;10.00;34885.13
1726227513.959;183;10.00;40244.33
1726227514.011;158;10.00;36634.40
1726227514.060;143;10.00;34484.54
1726227514.112;143;10.00;34484.54
1726227514.162;143;10.00;34484.54
1726227514.212;148;10.00;35255.07
1726227514.262;145;10.00;34711.07
1726227514.311;149;10.00;35400.00
1726227514.361;149;10.00;35400.00
1726227514.412;149;10.00;35400.00
1726227514.462;179;10.00;39687.33
1726227514.512;162;10.00;37193.13
1726227514.562;174;10.00;38943.46
1726227514.612;174;10.00;38943.46
1726227514.662;174;10.00;38943.46
1726227514.713;145;10.00;34785.80
1726227514.763;150;10.00;35495.07
1726227514.813;150;10.00;35495.07
1726227514.863;150;10.00;35495.07
1726227514.913;170;10.00;38375.46
1726227514.963;171;10.00;38578.13
1726227515.013;165;10.00;37619.80
1726227515.062;165;10.00;37619.80
1726227515.113;165;10.00;37619.80
1726227515.163;158;10.00;36630.87
1726227515.213;178;10.00;39626.40
1726227515.262;178;10.00;39626.40
1726227515.313;178;10.00;39626.40
1726227515.363;170;10.00;38408.33
1726227515.412;154;10.00;36097.46
1726227515.464;161;10.00;37112.93
1726227515.514;161;10.00;37112.93
1726227515.564;161;10.00;37112.93
1726227515.615;143;10.00;34456.40
1726227515.665;144;10.00;34552.46
1726227515.715;144;10.00;34552.46
1726227515.765;144;10.00;34552.46
1726227515.815;175;10.00;39148.60
1726227515.865;181;10.00;40069.87
1726227515.915;181;10.00;40069.87
1726227515.965;181;10.00;40069.87
1726227516.015;157;10.00;36554.73
1726227516.065;153;10.00;35949.87
1726227516.115;153;10.00;35949.87
1726227516.166;153;10.00;35949.87
1726227516.216;178;10.00;39529.60
1726227516.265;144;10.00;34668.27
1726227516.316;144;10.00;34668.27
1726227516.365;144;10.00;34668.27
1726227516.416;159;10.00;36825.13
1726227516.466;155;10.00;36169.20
1726227529.931;151;10.00;35589.73
1726227529.982;143;10.00;34520.13
1726227530.033;143;10.00;34520.13
1726227530.083;143;10.00;34520.13
1726227530.134;145;10.00;34680.27
1726227530.183;147;10.00;34975.33
1726227530.233;147;10.00;34975.33
1726227530.284;147;10.00;34975.33
1726227530.335;162;10.00;37196.67
1726227530.384;172;10.00;38624.27
1726227530.435;172;10.00;38624.27
1726227530.485;172;10.00;38624.27
1726227530.536;147;10.00;35003.46
1726227530.586;157;10.00;36472.67
1726227530.636;157;10.00;36472.67
1726227530.686;157;10.00;36472.67
1726227530.736;175;10.00;39172.93
1726227530.785;148;10.00;35175.46
1726227530.836;148;10.00;35236.00
1726227530.886;148;10.00;35236.00
1726227530.936;162;10.00;37208.67
1726227530.986;172;10.00;38628.73
1726227531.037;173;10.00;38810.27
1726227531.087;173;10.00;38810.27
1726227531.137;149;10.00;35306.60
1726227531.188;142;10.00;34251.33
1726227531.237;142;10.00;34251.33
1726227531.288;142;10.00;34251.33
1726227531.337;181;10.00;39947.40
1726227531.537;141;10.00;34167.07
1726227531.738;142;10.00;34334.13
1726227531.788;141;10.00;34160.27
1726227531.838;141;10.00;34160.27
1726227531.888;141;10.00;34160.27
1726227531.939;141;10.00;34160.27
1726227532.038;143;10.00;34420.27
1726227532.089;181;10.00;40076.46
1726227532.139;181;10.00;40076.46
1726227532.188;181;10.00;40076.46
1726227532.239;167;10.00;37972.60
1726227532.288;158;10.00;36575.87
1726227532.338;164;10.00;37555.46
1726227532.388;164;10.00;37555.46
1726227532.439;172;10.00;38733.13
1726227532.488;145;10.00;34741.93
1726227532.538;142;10.00;34280.87
1726227532.589;142;10.00;34280.87
1726227532.639;142;10.00;34280.87
1726227532.689;142;10.00;34280.87
1726227532.740;146;10.00;34961.20
1726227532.789;160;10.00;36987.46
1726227532.839;160;10.00;36987.46
1726227532.889;160;10.00;36987.46
1726227532.940;160;10.00;36876.13
1726227532.989;153;10.00;35867.07
1726227533.040;175;10.00;39154.13
1726227533.089;175;10.00;39154.13
1726227533.139;175;10.00;39154.13
1726227533.189;169;10.00;38198.87
1726227533.240;164;10.00;37486.20
1726227533.289;184;10.00;40482.67
1726227533.340;184;10.00;40482.67
1726227533.390;184;10.00;40482.67
1726227533.440;183;10.00;40355.87
1726227533.491;183;10.00;40261.27
1726227533.540;183;10.00;40261.27
1726227533.591;183;10.00;40261.27
1726227533.642;181;10.00;40042.73
1726227533.691;179;10.00;39742.80
1726227533.742;179;10.00;39742.80
1726227533.793;179;10.00;39742.80
1726227533.843;179;10.00;39742.80
1726227533.893;145;10.00;34747.80
1726227533.943;145;10.00;34747.80
1726227533.992;145;10.00;34747.80
1726227534.043;151;10.00;35616.13
1726227534.144;180;10.00;39903.80
1726227534.194;180;10.00;39903.80
1726227534.244;180;10.00;39903.80
1726227534.294;180;10.00;39903.80
1726227534.344;181;10.00;40067.80
1726227534.394;178;10.00;39536.40
1726227534.443;159;10.00;36800.54
1726227534.494;159;10.00;36800.54
1726227534.544;159;10.00;36800.54
1726227534.594;159;10.00;36800.54
1726227534.643;145;10.00;34726.07
1726227534.695;145;10.00;34761.87
1726227534.746;145;10.00;34761.87
1726227534.795;145;10.00;34761.87
1726227534.845;142;10.00;34260.54
1726227534.895;158;10.00;36630.73
1726227534.946;181;10.00;40023.27
1726227534.996;181;10.00;40023.27
1726227535.047;181;10.00;40023.27
1726227535.097;181;10.00;40023.27
