UnixTimestamp;Microseconds;MilliAmpere;BaseValue
1740153331.580;79;50.00;36914.27
1740153331.627;79;50.00;36914.27
1740153331.677;94;50.00;46123.46
1740153331.727;94;50.00;46123.46
1740153331.777;81;50.00;38168.80
1740153331.827;81;50.00;38168.80
1740153331.878;81;50.00;38168.80
1740153331.928;93;50.00;45582.00
1740153331.978;93;50.00;45582.00
1740153332.028;89;50.00;43040.46
1740153332.078;89;50.00;43040.46
1740153332.128;89;50.00;43040.46
1740153332.178;81;50.00;38044.27
1740153332.228;81;50.00;38044.27
1740153332.278;95;50.00;46924.27
1740153332.327;81;50.00;38026.67
1740153332.378;81;50.00;38026.67
1740153332.427;82;50.00;38498.67
1740153332.477;82;50.00;38498.67
1740153332.528;94;50.00;46115.73
1740153332.578;94;50.00;46115.73
1740153332.628;94;50.00;46115.73
1740153332.678;95;50.00;46956.00
1740153332.728;95;50.00;46956.00
1740153332.778;82;50.00;39038.13
1740153332.828;82;50.00;39038.13
1740153332.878;82;50.00;39038.13
1740153333.027;81;50.00;38387.93
1740153333.078;81;50.00;38387.93
1740153333.128;92;50.00;44827.73
1740153333.179;92;50.00;44827.73
1740153333.230;92;50.00;44827.73
1740153333.280;80;50.00;37285.20
1740153333.330;80;50.00;37285.20
1740153333.380;81;50.00;38020.80
1740153333.430;79;50.00;37131.20
1740153333.480;79;50.00;37131.20
1740153333.530;97;50.00;48350.40
1740153333.580;97;50.00;48350.40
1740153333.830;83;50.00;39720.54
1740153333.880;83;50.00;39720.54
1740153333.980;84;50.00;40282.27
1740153334.030;79;50.00;36841.46
1740153334.081;96;50.00;47906.93
1740153334.130;96;50.00;47906.93
1740153334.180;95;50.00;46952.80
1740153334.231;95;50.00;46952.80
1740153334.281;92;50.00;45068.27
1740153334.330;92;50.00;45068.27
1740153334.380;80;50.00;37404.13
1740153334.431;82;50.00;38536.54
1740153334.481;82;50.00;38536.54
1740153334.531;86;50.00;41366.00
1740153334.581;86;50.00;41366.00
1740153334.631;86;50.00;41559.33
1740153334.681;86;50.00;41559.33
1740153334.731;79;50.00;37076.20
1740153334.781;79;50.00;37076.20
1740153334.831;81;50.00;38263.46
1740153334.881;81;50.00;38263.46
1740153334.931;81;50.00;38005.87
1740153334.981;81;50.00;38005.87
1740153335.031;90;50.00;44149.54
1740153335.081;90;50.00;44149.54
1740153335.131;97;50.00;48031.46
1740153335.181;97;50.00;48031.46
1740153335.230;98;50.00;48699.73
1740153344.334;84;50.00;39775.73
1740153344.384;84;50.00;39775.73
1740153344.434;81;50.00;38327.46
1740153344.484;81;50.00;38327.46
1740153344.534;79;50.00;37162.13
1740153344.584;79;50.00;37162.13
1740153344.634;96;50.00;47707.67
1740153344.684;96;50.00;47707.67
1740153344.734;82;50.00;38985.87
1740153344.785;82;50.00;38985.87
1740153344.835;93;50.00;45502.40
1740153344.885;93;50.00;45502.40
1740153344.935;80;50.00;37423.46
1740153344.985;80;50.00;37423.46
1740153345.034;81;50.00;38287.07
1740153345.085;89;50.00;43400.93
1740153345.135;89;50.00;43151.87
1740153345.185;86;50.00;41414.00
1740153345.236;86;50.00;41414.00
1740153345.285;83;50.00;39159.00
1740153345.335;83;50.00;39159.00
1740153345.386;83;50.00;39206.80
1740153345.436;83;50.00;39206.80
1740153345.487;81;50.00;38174.40
1740153345.537;81;50.00;38174.40
1740153345.588;81;50.00;38174.40
1740153345.638;84;50.00;39827.73
1740153345.688;84;50.00;39827.73
1740153345.738;80;50.00;37688.54
1740153345.787;80;50.00;37688.54
1740153345.838;82;50.00;38954.00
1740153345.888;82;50.00;38954.00
1740153345.938;83;50.00;39468.67
1740153345.988;83;50.00;39468.67
1740153346.037;81;50.00;38200.00
1740153346.088;81;50.00;38200.00
1740153346.138;97;50.00;48521.46
1740153346.188;97;50.00;48521.46
1740153346.237;82;50.00;38796.80
1740153346.288;80;50.00;37565.60
1740153346.338;80;50.00;37548.54
1740153346.388;82;50.00;38997.80
1740153346.438;82;50.00;38997.80
1740153346.488;96;50.00;47872.93
1740153346.538;96;50.00;47872.93
1740153346.589;95;50.00;47105.46
1740153346.638;95;50.00;47105.46
1740153346.688;96;50.00;47377.60
1740153346.738;96;50.00;47377.60
1740153346.787;85;50.00;40938.80
1740153346.838;84;50.00;40351.20
1740153346.888;84;50.00;40351.20
1740153346.938;97;50.00;48228.27
1740153346.989;97;50.00;48228.27
1740153347.038;97;50.00;48228.27
1740153347.088;84;50.00;39760.13
1740153347.138;84;50.00;39760.13
1740153347.188;84;50.00;39866.13
1740153347.237;84;50.00;39866.13
1740153347.338;82;50.00;38820.40
1740153347.388;82;50.00;38820.40
1740153347.438;81;50.00;38197.20
1740153347.487;81;50.00;38197.20
1740153356.137;80;50.00;37280.80
1740153356.188;80;50.00;37280.80
1740153356.238;99;50.00;49561.07
1740153356.288;99;50.00;49561.07
1740153356.338;81;50.00;37887.20
1740153356.388;81;50.00;37887.20
1740153356.438;80;50.00;37727.60
1740153356.488;80;50.00;37727.60
1740153356.538;80;50.00;37336.00
1740153356.588;82;50.00;38838.93
1740153356.638;82;50.00;38838.93
1740153356.689;84;50.00;40052.46
1740153356.738;84;50.00;40052.46
1740153356.789;83;50.00;39341.60
1740153356.838;83;50.00;39341.60
1740153356.889;81;50.00;37941.87
1740153356.938;81;50.00;37941.87
1740153356.989;83;50.00;39190.93
1740153357.039;83;50.00;39190.93
1740153357.089;82;50.00;38593.07
1740153357.138;82;50.00;38593.07
1740153357.190;99;50.00;49709.33
1740153357.240;85;50.00;40870.13
1740153357.290;85;50.00;40870.13
1740153357.440;79;50.00;37149.87
1740153357.489;79;50.00;37149.87
1740153357.640;79;50.00;37068.40
1740153357.690;79;50.00;37068.40
1740153357.840;97;50.00;48017.54
1740153357.891;96;50.00;47819.20
1740153357.940;81;50.00;38367.46
1740153357.991;84;50.00;39916.07
