UnixTimestamp;Microseconds;MilliAmpere;BaseValue
1724422676.171;750;22.00
1724422676.220;750;22.00
1724422676.270;750;22.00
1724422676.319;750;22.00
1724422676.369;750;22.00
1724422676.420;750;22.00
1724422676.470;750;22.00
1724422676.519;750;22.00
1724422676.570;750;22.00
1724422676.620;750;22.00
1724422676.670;750;22.00
1724422676.721;750;22.00
1724422676.771;750;22.00
1724422676.821;750;22.00
1724422676.871;750;22.00
1724422676.921;750;22.00
1724422681.051;200;40.00
1724422681.102;200;40.00
1724422681.152;200;40.00
1724422681.202;200;40.00
1724422681.252;200;40.00
1724422681.303;200;40.00
1724422681.353;200;40.00
1724422681.402;200;40.00
1724422681.452;200;40.00
1724422681.503;200;40.00
1724422681.553;200;40.00
1724422681.603;200;40.00
1724422681.653;200;40.00
1724422681.704;200;40.00
1724422681.754;200;40.00
1724422695.896;300;16.62;34863.60
1724422695.946;300;16.49;34640.27
1724422695.996;300;16.49;34640.27
1724422696.046;300;19.09;39121.60
1724422696.096;300;19.09;39121.60
1724422696.146;300;19.09;39121.60
1724422696.196;300;16.98;35484.54
1724422696.246;300;21.15;42670.54
1724422696.296;300;21.15;42670.54
1724422696.346;300;16.71;35028.13
1724422696.397;300;17.19;35847.07
1724422696.447;300;17.19;35847.07
1724422696.497;300;22.00;44125.10
1724422696.547;300;21.45;43183.73
1724422696.596;300;21.45;43183.73
1724422696.647;300;19.55;39902.46
1724422696.697;300;19.55;39902.46
1724422696.747;300;19.55;39902.46
1724422696.797;300;22.00;44125.10
1724422696.848;300;18.83;38662.00
1724422696.899;300;18.83;38662.00
1724422696.949;300;17.53;36434.13
1724422697.000;300;17.53;36434.13
1724422697.049;300;17.53;36434.13
1724422697.100;300;22.00;44125.10
1724422697.151;300;22.00;44125.10
1724422697.200;300;22.00;44125.10
1724422697.250;300;22.00;44125.10
1724422697.300;300;22.00;44125.10
1724422697.350;300;18.32;37794.40
1724422697.400;300;18.32;37794.40
1724422697.449;300;22.00;44125.10
1724422697.500;300;17.08;35665.60
1724422697.550;300;17.08;35665.60
1724422697.600;300;20.84;42125.87
