UnixTimestamp;Microseconds;MilliAmpere;BaseValue
1740138279.003;92;30.00;37498.80
1740138279.050;92;30.00;37498.80
1740138279.403;94;30.00;38672.00
1740138279.552;93;30.00;38497.54
1740138279.602;93;30.00;38497.54
1740138279.652;98;30.00;41385.46
1740138279.702;98;30.00;41385.46
1740138279.753;100;30.00;42613.13
1740138279.802;100;30.00;42613.13
1740138279.853;101;30.00;43536.00
1740138279.902;101;30.00;43536.00
1740138279.953;94;30.00;38889.46
1740138280.003;94;30.00;38889.46
1740138280.153;103;30.00;44560.07
1740138280.204;99;30.00;41874.54
1740138280.254;99;30.00;41874.54
1740138280.304;103;30.00;44674.87
1740138280.353;103;30.00;44674.87
1740138280.404;99;30.00;41744.87
1740138280.454;99;30.00;41744.87
1740138280.505;101;30.00;43297.33
1740138280.554;101;30.00;43297.33
1740138280.705;95;30.00;39270.67
1740138280.755;95;30.00;39270.67
1740138280.804;94;30.00;38990.60
1740138280.855;94;30.00;38990.60
1740138281.004;97;30.00;40541.00
1740138281.055;94;30.00;38829.07
1740138281.104;94;30.00;38829.07
1740138290.302;96;30.00;40158.40
1740138290.352;96;30.00;40158.40
1740138290.402;93;30.00;38204.00
1740138290.452;93;30.00;38204.00
1740138290.502;102;30.00;43830.60
1740138290.552;102;30.00;43830.60
1740138290.602;99;30.00;42087.20
1740138290.652;99;30.00;42087.20
1740138290.701;103;30.00;44551.60
1740138290.752;103;30.00;44551.60
1740138290.802;98;30.00;41385.87
1740138290.852;98;30.00;41210.67
1740138290.902;98;30.00;41210.67
1740138290.953;97;30.00;40805.73
1740138291.002;97;30.00;40805.73
1740138291.051;95;30.00;39406.33
1740138291.102;95;30.00;39406.33
1740138291.153;102;30.00;43851.33
1740138291.202;96;30.00;40036.27
1740138291.252;96;30.00;40263.46
1740138291.302;102;30.00;43842.60
1740138291.352;102;30.00;43842.60
1740138291.402;106;30.00;46769.27
1740138291.452;106;30.00;46769.27
1740138291.503;94;30.00;38790.73
1740138291.553;94;30.00;38790.73
1740138291.603;108;30.00;47913.13
1740138291.653;108;30.00;47913.13
1740138291.703;98;30.00;41217.40
1740138291.753;98;30.00;41217.40
1740138291.803;94;30.00;38996.93
1740138291.853;94;30.00;38996.93
1740138291.903;96;30.00;40405.54
1740138291.954;96;30.00;40405.54
1740138292.003;101;30.00;43511.00
1740138292.054;104;30.00;45439.33
1740138292.104;105;30.00;45947.87
1740138292.154;103;30.00;44727.00
1740138292.203;103;30.00;44727.00
1740138292.253;98;30.00;41396.93
1740138292.304;98;30.00;41396.93
1740138292.354;100;30.00;42462.13
1740138292.403;100;30.00;42462.13
1740138292.453;97;30.00;40542.54
1740138292.504;97;30.00;40542.54
1740138292.654;96;30.00;40058.27
1740138292.704;100;30.00;42667.46
1740138292.754;100;30.00;42667.46
1740138292.804;100;30.00;42942.13
1740138292.854;100;30.00;42942.13
1740138292.904;97;30.00;40988.40
1740138292.955;97;30.00;40988.40
1740138293.004;102;30.00;44071.80
1740138293.054;102;30.00;44071.80
1740138293.104;94;30.00;38607.73
1740138293.155;94;30.00;38607.73
1740138293.205;107;30.00;47081.67
1740138301.916;93;30.00;38161.07
1740138301.966;93;30.00;38161.07
1740138302.016;95;30.00;39666.60
1740138302.065;95;30.00;39666.60
1740138302.315;98;30.00;41674.13
1740138302.366;98;30.00;41674.13
1740138302.416;104;30.00;45422.73
1740138302.465;104;30.00;45422.73
1740138302.516;102;30.00;44013.00
1740138302.566;94;30.00;38802.54
1740138302.616;94;30.00;38802.54
1740138302.666;101;30.00;43478.67
