UnixTimestamp;Microseconds;MilliAmpere;BaseValue
1738252801.893;500;19.01;37067.80
1738252801.938;500;19.01;37067.80
1738252801.987;500;19.01;37067.80
1738252802.037;500;19.01;37067.80
1738252802.088;500;18.38;35273.93
1738252802.137;500;21.04;42861.73
1738252802.389;500;18.86;36630.67
1738252802.439;500;20.04;40000.00
1738252802.489;500;22.49;46969.07
1738252802.539;500;20.37;40953.73
1738252802.589;500;18.73;36267.33
1738252802.639;500;20.11;40187.33
1738252802.690;500;20.11;40187.33
1738252802.739;500;20.11;40187.33
1738252802.790;500;19.82;39377.87
1738252802.840;500;22.15;46016.73
1738252802.889;500;18.70;36197.33
1738252802.941;500;20.74;41995.07
1738252802.991;500;20.85;42293.54
1738252803.041;500;20.85;42293.54
1738252803.091;500;20.85;42293.54
1738252803.141;500;20.85;42293.54
1738252803.191;500;20.82;42213.33
1738252803.242;500;20.63;41681.33
1738252803.292;500;21.41;43897.87
1738252803.343;500;20.23;40552.54
1738252803.393;500;20.23;40552.54
1738252803.443;500;20.23;40552.54
1738252803.493;500;20.23;40552.54
1738252803.543;500;20.23;40552.54
1738252803.593;500;20.62;41645.87
1738252803.643;500;22.05;45712.00
1738252803.693;500;18.79;36441.33
1738252803.744;500;21.23;43389.60
1738252803.794;500;21.23;43389.60
1738252803.844;500;21.23;43389.60
1738252803.895;500;21.23;43389.60
1738252803.944;500;21.23;43389.60
1738252803.995;500;22.11;45887.54
1738252804.045;500;21.98;45536.27
1738252804.095;500;22.04;45705.07
1738252804.145;500;21.47;44062.00
1738252804.195;500;21.47;44062.00
1738252804.245;500;21.47;44062.00
1738252804.296;500;20.90;42450.67
1738252804.346;500;20.11;40188.54
1738252804.396;500;19.30;37903.46
1738252804.446;500;21.37;43794.40
1738252804.496;500;20.63;41690.67
1738252804.546;500;20.63;41690.67
1738252804.597;500;20.63;41690.67
1738252804.647;500;20.56;41469.33
1738252804.697;500;21.58;44389.07
1738252804.797;500;18.65;36047.73
1738252804.847;500;18.65;36047.73
1738252804.897;500;18.65;36047.73
1738252804.947;500;18.65;36047.73
1738252804.998;500;19.40;38179.87
1738252805.047;500;19.84;39418.13
1738252805.097;500;19.51;38486.67
1738252805.147;500;21.02;42796.80
1738252805.198;500;21.02;42796.80
1738252805.247;500;21.02;42796.80
1738252805.298;500;21.02;42796.80
1738252805.348;500;19.57;38651.20
1738252805.398;500;20.68;41827.73
1738252805.448;500;18.42;35378.40
1738252805.498;500;21.27;43499.00
1738252805.548;500;21.27;43499.00
1738252805.598;500;21.27;43499.00
1738252805.648;500;21.27;43499.00
1738252805.698;500;21.59;44416.27
1738252805.749;500;19.96;39783.87
1738252805.798;500;21.04;42836.54
1738252805.849;500;18.75;36318.13
1738252805.899;500;18.75;36318.13
1738252805.948;500;18.75;36318.13
1738252805.999;500;18.75;36318.13
1738252806.048;500;20.11;40203.20
1738252806.099;500;18.56;35788.00
1738252806.149;500;20.86;42341.20
1738252806.199;500;21.88;45246.07
1738252806.249;500;21.88;45246.07
1738252806.299;500;21.88;45246.07
1738252806.349;500;21.88;45246.07
1738252806.399;500;20.15;40316.87
1738252806.449;500;21.43;43969.73
1738252806.500;500;20.66;41767.73
1738252806.550;500;20.92;42499.07
1738252806.599;500;20.89;42429.33
1738252806.650;500;20.89;42429.33
1738252806.699;500;20.89;42429.33
1738252806.750;500;20.89;42429.33
1738252806.799;500;20.54;41435.13
1738252806.850;500;18.34;35169.87
1738252806.899;500;18.39;35294.67
1738252806.950;500;19.42;38248.00
1738252806.999;500;19.42;38248.00
1738252807.050;500;19.42;38248.00
1738252807.100;500;19.42;38248.00
1738252807.150;500;19.42;38248.00
1738252807.200;500;21.18;43253.46
1738252807.250;500;19.54;38576.54
1738252807.300;500;18.89;36733.33
1738252807.350;500;21.81;45039.80
1738252807.400;500;20.25;40584.60
1738252807.450;500;20.25;40584.60
1738252807.501;500;20.25;40584.60
1738252807.551;500;19.20;37607.13
1738252807.600;500;21.06;42914.67
1738252807.651;500;18.34;35153.33
1738252807.701;500;20.54;41421.07
1738252807.751;500;21.01;42759.40
1738252807.801;500;21.93;45368.13
1738252807.851;500;21.93;45368.13
1738252807.900;500;21.93;45368.13
1738252807.951;500;21.93;45368.13
1738252808.002;500;20.12;40236.27
1738252808.053;500;20.44;41152.80
1738252808.104;500;19.12;37370.40
1738252808.154;500;22.12;45929.40
1738252808.204;500;22.12;45929.40
1738252808.254;500;22.12;45929.40
1738252808.303;500;22.12;45929.40
1738252808.354;500;21.12;43065.93
1738252808.403;500;20.88;42386.93
1738252808.454;500;20.91;42473.60
1738252808.503;500;20.96;42614.40
1738252808.553;500;19.95;39750.13
1738252808.603;500;19.95;39750.13
1738252808.654;500;19.95;39750.13
1738252808.704;500;20.43;41099.46
1738252808.754;500;18.59;35870.67
1738252808.804;500;21.25;43436.93
1738252808.854;500;21.17;43228.93
1738252808.904;500;21.74;44850.67
1738252808.954;500;20.84;42281.60
1738252809.005;500;20.84;42281.60
1738252809.055;500;20.84;42281.60
1738252809.105;500;20.84;42281.60
1738252809.156;500;21.25;43449.87
1738252809.205;500;20.67;41801.33
1738252809.255;500;19.20;37596.00
1738252809.306;500;18.77;36390.40
1738252809.356;500;21.80;45025.60
1738252809.406;500;21.99;45547.33
1738252809.456;500;21.99;45547.33
1738252809.507;500;21.99;45547.33
1738252809.556;500;21.99;45547.33
1738252809.607;500;20.69;41840.27
1738252809.656;500;18.29;35013.60
1738252809.706;500;19.16;37502.54
1738252809.756;500;20.88;42378.40
1738252809.806;500;20.88;42378.40
1738252809.857;500;20.88;42378.40
1738252809.907;500;20.88;42378.40
1738252809.968;500;20.88;42378.40
1738252810.015;500;19.19;37585.07
1738252810.066;500;21.09;42992.67
1738252810.115;500;20.69;41856.27
1738252810.166;500;20.69;41856.27
1738252810.216;500;20.69;41856.27
1738252810.266;500;20.69;41856.27
1738252810.316;500;20.69;41856.27
1738252810.416;500;19.81;39342.67
1738252810.466;500;21.78;44963.46
1738252810.516;500;19.96;39786.27
1738252810.566;500;19.96;39786.27
1738252810.616;500;19.96;39786.27
1738252810.667;500;19.96;39786.27
1738252810.716;500;19.00;37030.67
1738252810.766;500;22.30;46423.93
1738252810.817;500;19.49;38431.46
1738252810.866;500;18.97;36954.27
1738252810.916;500;18.97;36954.27
1738252810.966;500;18.97;36954.27
1738252811.017;500;19.74;39139.73
1738252811.066;500;19.74;39139.73
1738252811.117;500;19.18;37545.13
1738252811.167;500;19.74;39138.27
1738252811.216;500;20.15;40318.27
1738252811.267;500;20.15;40318.27
1738252811.317;500;20.15;40318.27
1738252811.367;500;20.15;40318.27
1738252811.417;500;21.84;45113.33
1738252811.467;500;19.20;37603.54
1738252811.517;500;22.12;45931.33
1738252811.567;500;21.85;45155.20
1738252831.030;500;19.17;37524.00
1738252831.080;500;19.36;38072.80
1738252831.130;500;19.36;38072.80
1738252831.181;500;19.36;38072.80
1738252831.231;500;18.71;36224.73
1738252831.280;500;21.48;44089.13
1738252831.330;500;18.78;36405.07
1738252831.381;500;20.62;41658.67
1738252831.432;500;19.34;38019.46
1738252831.483;500;19.34;38019.46
1738252831.532;500;19.34;38019.46
1738252831.582;500;19.34;38019.46
1738252831.632;500;20.73;41954.27
1738252831.683;500;21.96;45464.13
1738252831.733;500;18.74;36296.27
1738252831.784;500;18.74;36296.27
1738252831.833;500;18.74;36296.27
1738252831.883;500;18.74;36296.27
1738252831.933;500;20.18;40387.46
1738252831.983;500;19.48;38418.93
1738252832.035;500;20.06;40051.54
1738252832.085;500;20.06;40051.54
1738252832.134;500;20.06;40051.54
1738252832.185;500;20.06;40051.54
1738252832.234;500;20.59;41578.33
1738252832.285;500;21.74;44852.93
1738252832.334;500;20.47;41232.27
1738252832.385;500;20.47;41232.27
1738252832.435;500;20.47;41232.27
1738252832.485;500;20.47;41232.27
1738252832.535;500;21.11;43057.46
1738252832.585;500;20.40;41035.73
1738252832.636;500;19.60;38750.93
1738252832.686;500;19.60;38750.93
1738252832.736;500;19.60;38750.93
1738252832.786;500;19.60;38750.93
1738252832.836;500;20.52;41358.40
1738252832.886;500;21.25;43438.80
1738252832.937;500;21.69;44703.07
1738252832.987;500;21.69;44703.07
1738252833.037;500;21.69;44703.07
1738252833.086;500;21.69;44703.07
1738252833.136;500;21.77;44924.00
1738252833.186;500;18.91;36790.67
1738252833.237;500;18.64;36004.54
1738252833.287;500;18.64;36004.54
1738252833.337;500;18.64;36004.54
1738252833.388;500;18.64;36004.54
1738252833.488;500;20.87;42363.00
1738252833.538;500;20.65;41735.73
1738252833.589;500;20.65;41735.73
1738252833.638;500;20.65;41735.73
