UnixTimestamp;Microseconds;MilliAmpere;BaseValue
1738857942.602;500;16.27;39020.27
1738857942.648;500;16.27;39020.27
1738857942.699;500;16.43;39471.54
1738857942.749;500;15.22;36136.13
1738857942.799;500;15.22;36136.13
1738857942.849;500;16.74;40332.80
1738857942.900;500;15.86;37893.33
1738857942.949;500;15.86;37893.33
1738857943.000;500;15.86;37893.33
1738857943.050;500;18.23;44418.87
1738857943.100;500;18.23;44418.87
1738857943.150;500;18.23;44418.87
1738857943.199;500;16.45;39525.87
1738857943.249;500;16.45;39525.87
1738857943.300;500;16.45;39525.87
1738857943.350;500;18.28;44551.80
1738857943.400;500;17.04;41144.40
1738857943.449;500;17.04;41144.40
1738857943.499;500;17.04;41144.40
1738857943.550;500;17.84;43341.07
1738857943.599;500;17.84;43341.07
1738857943.649;500;17.84;43341.07
1738857943.700;500;17.51;42454.87
1738857943.750;500;18.22;44396.93
1738857943.800;500;18.22;44396.93
1738857943.850;500;15.98;38226.33
1738857943.899;500;15.98;38226.33
1738857943.950;500;15.98;38226.33
1738857944.000;500;16.47;39585.20
1738857944.051;500;16.47;39585.20
1738857944.102;500;16.47;39585.20
1738857944.151;500;15.31;36381.73
1738857944.203;500;15.88;37946.80
1738857944.252;500;15.88;37946.80
1738857944.302;500;15.88;37946.80
1738857944.353;500;18.54;45276.60
1738857944.403;500;18.54;45276.60
1738857944.453;500;18.54;45276.60
1738857944.502;500;17.34;41981.93
1738857944.552;500;17.88;43460.00
1738857944.603;500;17.88;43460.00
1738857944.652;500;18.13;44139.20
1738857944.703;500;18.29;44601.46
1738857944.753;500;16.55;39786.93
1738857944.803;500;16.55;39786.93
1738857944.852;500;15.33;36442.67
1738857944.903;500;15.97;38185.20
1738857944.952;500;15.97;38185.20
1738857945.003;500;15.97;38185.20
1738857945.053;500;15.89;37981.07
1738857945.103;500;15.89;37981.07
1738857945.152;500;15.89;37981.07
1738857945.202;500;17.83;43331.87
1738857945.253;500;17.83;43331.87
1738857945.302;500;17.83;43331.87
1738857945.353;500;15.76;37608.54
1738857945.403;500;15.76;37608.54
1738857945.454;500;15.76;37608.54
1738857945.503;500;16.62;39992.20
1738857945.554;500;16.62;39992.20
1738857945.603;500;16.62;39992.20
1738857945.653;500;16.85;40612.87
1738857945.704;500;16.85;40612.87
1738857945.754;500;16.85;40612.87
1738857945.804;500;16.55;39804.67
1738857945.853;500;16.55;39804.67
1738857945.903;500;16.55;39804.67
1738857945.955;500;15.34;36451.00
1738857946.005;500;15.81;37750.00
1738857946.055;500;15.81;37750.00
1738857946.105;500;15.81;37750.00
1738857946.155;500;17.40;42133.80
1738857946.205;500;18.41;44910.87
1738857946.255;500;18.41;44910.87
1738857946.306;500;18.41;44910.87
1738857946.356;500;19.23;47184.46
1738857946.406;500;19.23;47184.46
1738857946.456;500;19.23;47184.46
1738857946.506;500;16.50;39660.93
1738857946.556;500;16.50;39660.93
1738857946.607;500;16.50;39660.93
1738857946.657;500;18.85;46125.73
1738857946.706;500;18.85;46125.73
1738857946.757;500;18.85;46125.73
1738857946.807;500;16.45;39526.60
1738857956.261;500;16.51;39693.13
1738857956.311;500;16.51;39693.13
1738857956.361;500;15.17;35983.20
1738857956.411;500;15.06;35684.27
1738857956.461;500;15.06;35684.27
1738857956.511;500;16.18;38773.87
1738857956.561;500;17.02;41096.40
1738857956.613;500;17.02;41096.40
1738857956.663;500;16.10;38563.33
1738857956.712;500;16.10;38563.33
1738857956.762;500;16.10;38563.33
1738857956.813;500;16.88;40700.40
1738857956.862;500;17.00;41039.93
1738857956.913;500;17.00;41039.93
1738857956.963;500;16.35;39252.46
1738857957.013;500;16.35;39252.46
1738857957.063;500;16.35;39252.46
1738857957.113;500;18.97;46465.60
1738857957.164;500;18.97;46465.60
1738857957.215;500;18.97;46465.60
1738857957.265;500;16.08;38497.40
1738857957.315;500;16.08;38497.40
1738857957.364;500;15.05;35651.46
1738857957.415;500;17.19;41567.33
1738857957.465;500;17.19;41567.33
1738857957.515;500;17.19;41567.33
1738857957.565;500;18.59;45412.46
1738857957.615;500;18.10;44059.54
1738857957.665;500;18.10;44059.54
1738857957.715;500;18.31;44641.33
1738857957.765;500;15.99;38239.27
1738857957.815;500;15.99;38239.27
1738857957.865;500;15.99;38239.27
1738857957.915;500;17.88;43456.80
1738857957.965;500;18.47;45081.67
1738857958.015;500;18.47;45081.67
1738857958.065;500;16.73;40300.40
1738857958.115;500;16.80;40485.07
1738857958.165;500;16.80;40485.07
1738857958.216;500;17.20;41594.67
1738857958.265;500;17.55;42554.20
1738857958.316;500;17.55;42554.20
1738857958.365;500;18.57;45370.87
1738857958.416;500;17.11;41326.87
1738857958.466;500;17.11;41326.87
1738857958.515;500;17.11;41326.87
1738857958.566;500;18.26;44502.13
1738857958.616;500;18.26;44502.13
1738857958.666;500;18.26;44502.13
1738857958.721;500;15.94;38110.93
1738857958.769;500;15.67;37371.87
1738857958.819;500;15.67;37371.87
1738857958.869;500;16.00;38284.80
1738857958.919;500;16.26;39009.60
1738857958.969;500;16.26;39009.60
1738857959.018;500;16.26;39009.60
1738857959.068;500;17.95;43647.67
1738857959.119;500;17.98;43736.07
1738857959.169;500;17.98;43736.07
1738857959.219;500;17.98;43736.07
1738857959.269;500;18.85;46133.46
1738857959.320;500;18.85;46133.46
1738857959.370;500;18.85;46133.46
1738857959.421;500;18.23;44415.46
1738857959.470;500;18.23;44415.46
1738857959.521;500;18.23;44415.46
1738857959.570;500;16.16;38716.33
1738857959.621;500;16.16;38716.33
1738857959.671;500;16.41;39408.60
1738857959.721;500;14.87;35172.40
1738857959.771;500;14.87;35172.40
1738857959.823;500;14.87;35172.40
1738857959.876;500;17.60;42679.40
1738857959.924;500;17.60;42679.40
1738857959.974;500;17.60;42679.40
1738857960.024;500;15.19;36044.13
1738857969.233;500;15.21;36103.46
1738857969.283;500;15.21;36103.46
1738857969.333;500;15.21;36103.46
1738857969.383;500;15.79;37689.33
1738857969.433;500;15.79;37689.33
1738857969.483;500;17.18;41537.00
1738857969.533;500;18.14;44171.93
1738857969.583;500;18.14;44171.93
1738857969.633;500;18.14;44171.93
1738857969.683;500;17.69;42923.54
1738857969.733;500;17.69;42923.54
1738857969.783;500;17.69;42923.54
1738857969.833;500;16.24;38948.13
1738857969.883;500;17.79;43214.27
1738857969.933;500;17.79;43214.27
1738857969.983;500;17.88;43471.46
1738857970.033;500;18.30;44606.60
1738857970.082;500;17.59;42648.33
1738857970.133;500;17.59;42648.33
1738857970.183;500;17.83;43319.93
1738857970.234;500;15.97;38191.67
1738857970.283;500;15.97;38191.67
1738857970.334;500;15.97;38191.67
1738857970.384;500;16.32;39156.54
1738857970.434;500;16.32;39156.54
1738857970.484;500;16.32;39156.54
1738857970.534;500;16.99;41020.87
1738857970.584;500;18.15;44192.87
1738857970.634;500;18.15;44192.87
1738857970.684;500;18.04;43905.93
1738857970.734;500;18.04;43905.93
1738857970.784;500;18.04;43905.93
