UnixTimestamp;Microseconds;MilliAmpere;BaseValue
1725983958.343;500;1.00
1725983958.391;500;1.00
1725983958.441;500;1.00
1725983958.490;500;1.00
1725983958.541;500;1.00
1725983958.591;500;1.00
1725983958.642;500;1.00
1725983958.691;500;1.00
1725983958.741;500;1.00
1725983958.791;500;1.00
1725983958.842;500;1.00
1725983961.709;1;40.00
1725983961.760;1;40.00
1725983961.810;1;40.00
1725983961.859;1;40.00
1725983961.909;1;40.00
1725983961.959;1;40.00
1725983962.010;1;40.00
1725983962.060;1;40.00
1725983962.111;1;40.00
1725983962.161;1;40.00
1725984030.966;350;15.73;51283.33
1725984031.017;350;16.32;54109.27
1725984031.067;350;16.32;54109.27
1725984031.117;350;16.32;54109.27
1725984031.167;350;15.85;51874.80
1725984031.218;350;15.85;51874.80
1725984031.268;350;16.25;53808.73
1725984031.318;350;15.84;51800.87
1725984031.368;350;15.84;51800.87
1725984031.418;350;15.84;51800.87
1725984031.469;350;15.84;51827.67
1725984031.520;350;15.84;51827.67
1725984031.569;350;15.84;51827.67
1725984031.620;350;16.34;54245.54
1725984031.670;350;16.07;52942.27
1725984031.720;350;16.07;52942.27
1725984031.770;350;15.92;52208.54
1725984031.821;350;15.92;52208.54
1725984031.870;350;15.92;52208.54
1725984031.920;350;15.85;51868.20
1725984031.972;350;15.65;50897.60
1725984032.021;350;15.65;50897.60
1725984032.072;350;15.65;50897.60
1725984032.121;350;16.13;53215.13
1725984032.172;350;16.35;54278.54
1725984032.221;350;16.35;54278.54
1725984032.272;350;16.35;54278.54
1725984032.321;350;15.67;50982.93
1725984032.372;350;16.11;53120.87
1725984032.422;350;16.11;53120.87
1725984032.472;350;15.99;52552.67
1725984032.522;350;16.17;53401.93
1725984032.572;350;16.17;53407.87
1725984032.621;350;16.17;53407.87
1725984032.672;350;16.17;53407.87
1725984032.723;350;15.72;51209.80
1725984032.773;350;16.15;53303.40
1725984032.823;350;16.15;53303.40
1725984032.872;350;16.15;53303.40
1725984032.922;350;15.99;52516.87
1725984032.973;350;15.91;52151.87
1725984033.022;350;15.91;52151.87
1725984033.073;350;16.05;52831.87
1725984033.124;350;16.14;53253.27
1725984033.173;350;16.14;53253.27
1725984033.223;350;16.14;53253.27
1725984033.273;350;16.06;52862.27
1725984033.323;350;16.06;52862.27
1725984033.374;350;15.93;52265.27
1725984033.424;350;15.93;52265.27
1725984033.473;350;15.99;52551.80
1725984033.523;350;16.35;54262.80
1725984033.574;350;16.35;54262.80
1725984033.623;350;15.77;51477.93
1725984033.674;350;15.95;52325.00
1725984033.724;350;15.95;52325.00
1725984033.774;350;16.32;54131.40
1725984033.825;350;16.32;54131.40
1725984033.875;350;16.29;53995.80
1725984033.925;350;16.42;54630.00
1725984033.975;350;16.42;54630.00
1725984034.024;350;16.14;53240.46
1725984034.075;350;16.06;52894.67
1725984034.125;350;16.06;52894.67
1725984034.176;350;15.89;52072.20
1725984034.225;350;15.89;52072.20
1725984034.276;350;15.83;51772.67
1725984034.326;350;15.91;52152.13
1725984034.375;350;15.91;52152.13
1725984034.426;350;15.70;51140.46
1725984034.476;350;15.88;52010.54
1725984034.525;350;15.88;52010.54
1725984034.577;350;15.85;51839.73
1725984034.627;350;15.85;51839.73
1725984034.677;350;15.68;51039.73
1725984034.727;350;15.68;51039.73
1725984034.777;350;15.68;51039.73
1725984034.827;350;15.84;51829.00
1725984034.879;350;16.29;53983.80
1725984034.929;350;16.29;53983.80
1725984034.978;350;15.64;50837.46
1725984035.029;350;15.69;51106.67
1725984035.079;350;15.69;51106.67
1725984035.129;350;16.26;53826.13
1725984035.178;350;16.24;53728.46
1725984035.229;350;16.24;53728.46
1725984035.279;350;15.58;50555.60
1725984035.330;350;15.58;50555.60
1725984035.379;350;15.58;50555.60
1725984035.430;350;16.32;54129.60
1725984043.569;350;15.58;50530.67
1725984043.620;350;16.09;53034.87
1725984043.669;350;16.09;53034.87
1725984043.719;350;15.22;48792.54
1725984043.770;350;15.35;49421.40
1725984043.821;350;15.35;49421.40
1725984043.871;350;16.07;52932.67
1725984043.920;350;16.07;52932.67
1725984043.970;350;15.66;50946.54
1725984044.021;350;15.66;50946.54
1725984044.071;350;16.05;52831.67
1725984044.121;350;16.02;52697.33
1725984044.171;350;16.02;52697.33
1725984044.222;350;16.13;53201.46
1725984044.271;350;16.14;53263.54
1725984044.321;350;16.14;53263.54
1725984044.371;350;15.88;51986.07
1725984044.421;350;15.88;51986.07
1725984044.471;350;16.23;53697.73
1725984044.522;350;16.23;53697.73
1725984044.572;350;16.23;53697.73
1725984044.622;350;15.85;51854.07
1725984044.671;350;15.85;51854.07
1725984044.722;350;15.99;52533.40
1725984044.771;350;16.14;53271.67
1725984044.822;350;16.14;53271.67
1725984044.873;350;15.64;50846.80
1725984044.922;350;15.64;50846.80
1725984044.973;350;15.64;50846.80
1725984045.023;350;16.19;53485.67
1725984045.073;350;16.19;53485.67
1725984045.123;350;16.10;53072.27
1725984045.174;350;16.01;52627.07
1725984045.225;350;16.01;52627.07
1725984045.274;350;16.14;53270.54
1725984045.325;350;16.14;53270.54
