UnixTimestamp;Microseconds;MilliAmpere;BaseValue
1724251390.964;200;50.00
1724251391.012;200;50.00
1724251391.062;200;50.00
1724251391.113;200;50.00
1724251391.163;200;50.00
1724251391.213;200;50.00
1724251391.263;200;50.00
1724251391.313;200;50.00
1724251391.363;200;50.00
1724251391.412;200;50.00
1724251391.462;200;50.00
1724251391.513;200;50.00
1724251391.562;200;50.00
1724251391.613;200;50.00
1724251391.663;200;50.00
1724251391.713;200;50.00
1724251391.763;200;50.00
1724251391.813;200;50.00
1724251391.863;200;50.00
1724251391.913;200;50.00
1724251391.962;200;50.00
1724251392.013;200;50.00
1724251392.063;200;50.00
1724251392.113;200;50.00
1724251392.163;200;50.00
1724251399.210;400;90.00;83949.00
1724251399.260;400;109.00;268.00
1724251399.309;400;109.00;268.00
1724251399.359;400;109.00;268.00
1724251399.410;400;105.00;792.00
1724251399.460;400;104.00;3966.00
1724251399.510;400;104.00;3966.00
1724251399.561;400;104.00;3966.00
1724251399.611;400;103.00;4579.00
1724251399.661;400;103.00;4579.00
1724251399.711;400;103.00;4579.00
1724251399.761;400;105.00;6905.00
1724251399.811;400;105.00;5265.00
1724251399.861;400;105.00;5265.00
1724251399.911;400;105.00;5265.00
1724251399.961;400;105.00;2455.00
1724251400.010;400;104.00;331.00
1724251400.061;400;104.00;331.00
1724251400.111;400;103.00;8293.00
1724251400.161;400;109.00;2.00
1724251400.211;400;109.00;2.00
1724251400.261;400;109.00;2.00
1724251400.311;400;103.00;9679.00
1724251400.366;400;103.00;513.00
1724251400.412;400;102.00;541.00
1724251400.462;400;102.00;541.00
1724251400.512;400;102.00;541.00
1724251400.563;400;102.00;7213.00
1724251400.613;400;104.00;257.00
1724251400.663;400;104.00;257.00
1724251400.713;400;104.00;257.00
1724251400.762;400;109.00;2.00
1724251400.812;400;104.00;5465.00
1724251400.862;400;104.00;5465.00
1724251400.913;400;104.00;5465.00
1724251400.963;400;107.00;1658.00
1724251401.013;400;107.00;904.00
1724251401.063;400;107.00;904.00
1724251401.114;400;103.00;1281.00
1724251401.164;400;107.00;36.00
1724251401.214;400;107.00;36.00
1724251401.264;400;107.00;36.00
1724251401.314;400;108.00;6601.00
1724251401.364;400;109.00;2.00
1724251401.413;400;109.00;2.00
1724251401.464;400;109.00;2.00
1724251401.515;400;103.00;7774.00
1724251401.565;400;103.00;6003.00
1724251401.615;400;103.00;6003.00
1724251401.665;400;103.00;6003.00
1724251401.715;400;109.00;2.00
1724251401.765;400;109.00;2.00
1724251401.815;400;109.00;2.00
1724251401.866;400;109.00;2.00
1724251401.916;400;104.00;7511.00
1724251401.966;400;104.00;7511.00
1724251402.016;400;104.00;7511.00
1724251402.066;400;104.00;3656.00
1724251402.116;400;104.00;5702.00
1724251402.166;400;104.00;5702.00
1724251402.216;400;104.00;5702.00
1724251402.266;400;104.00;5702.00
1724251402.316;400;105.00;6183.00
1724251402.366;400;107.00;7376.00
1724251402.416;400;107.00;7376.00
1724251402.465;400;107.00;7376.00
1724251402.515;400;102.00;6287.00
1724251402.566;400;105.00;3052.00
1724251402.616;400;105.00;3052.00
1724251402.666;400;105.00;3052.00
1724251402.716;400;103.00;927.00
1724251402.766;400;106.00;3771.00
1724251402.816;400;106.00;3771.00
1724251402.866;400;106.00;3771.00
1724251402.916;400;104.00;4338.00
1724251402.966;400;109.00;2.00
1724251403.016;400;109.00;2.00
1724251403.066;400;109.00;2.00
1724251403.117;400;105.00;3252.00
1724251403.168;400;105.00;3502.00
1724251403.218;400;105.00;3502.00
1724251403.268;400;105.00;3502.00
1724251403.318;400;105.00;8469.00
1724251403.368;400;106.00;4488.00
1724251403.418;400;106.00;4488.00
1724251403.468;400;106.00;4488.00
1724251403.518;400;107.00;6366.00
1724251403.568;400;105.00;164.00
1724251403.619;400;105.00;164.00
1724251403.669;400;105.00;164.00
1724251403.719;400;105.00;6096.00
1724251403.769;400;107.00;8834.00
1724251403.819;400;107.00;8834.00
1724251403.869;400;107.00;8834.00
1724251403.919;400;109.00;2.00
1724251403.969;400;109.00;2.00
1724251404.019;400;109.00;2.00
1724251404.069;400;109.00;2.00
1724251404.119;400;109.00;2.00
1724251404.169;400;109.00;2.00
1724251404.219;400;109.00;2.00
1724251404.269;400;107.00;5007.00
1724251404.319;400;106.00;723.00
1724251404.369;400;106.00;723.00
1724251404.420;400;106.00;723.00
1724251404.470;400;103.00;7748.00
1724251404.520;400;103.00;7748.00
1724251404.570;400;103.00;7748.00
1724251404.620;400;106.00;7727.00
1724251404.670;400;106.00;2255.00
1724251404.721;400;106.00;2255.00
1724251404.771;400;106.00;2255.00
1724251404.821;400;108.00;8001.00
1724251412.196;400;100.00;9141.00
1724251412.246;400;103.00;9777.00
1724251412.296;400;104.00;3792.00
1724251412.346;400;104.00;3792.00
1724251412.396;400;104.00;3792.00
1724251412.445;400;108.00;8694.00
1724251412.495;400;103.00;9499.00
1724251412.545;400;103.00;9499.00
1724251412.596;400;103.00;9499.00
1724251412.645;400;105.00;5657.00
1724251412.695;400;103.00;4052.00
1724251412.745;400;103.00;4052.00
1724251412.795;400;106.00;6523.00
1724251412.845;400;105.00;7875.00
1724251412.895;400;105.00;7875.00
1724251412.945;400;105.00;7875.00
1724251412.995;400;109.00;2.00
1724251413.045;400;109.00;2.00
1724251413.096;400;109.00;2.00
1724251413.146;400;102.00;5483.00
1724251413.196;400;109.00;2.00
1724251413.245;400;109.00;2.00
1724251413.295;400;109.00;2.00
1724251413.346;400;109.00;2.00
1724251413.395;400;104.00;5134.00
1724251413.446;400;104.00;5134.00
1724251413.496;400;104.00;5134.00
1724251413.546;400;103.00;9002.00
1724251413.596;400;102.00;6337.00
1724251413.646;400;102.00;6337.00
1724251413.696;400;102.00;6337.00
1724251413.746;400;96.00;88869.00
1724251413.797;400;105.00;4673.00
1724251413.847;400;105.00;4673.00
1724251413.897;400;105.00;4673.00
1724251413.947;400;105.00;4673.00
1724251413.997;400;104.00;813.00
1724251414.047;400;104.00;813.00
1724251414.097;400;104.00;813.00
1724251414.146;400;99.00;7783.00
1724251414.196;400;109.00;2.00
1724251414.246;400;109.00;2.00
1724251414.296;400;109.00;2.00
1724251414.346;400;105.00;7501.00
1724251414.396;400;102.00;5938.00
1724251414.446;400;102.00;5938.00
1724251414.498;400;102.00;5938.00
1724251414.547;400;102.00;954.00
1724251414.597;400;104.00;9147.00
1724251414.647;400;104.00;9147.00
1724251414.697;400;104.00;9147.00
1724251414.747;400;105.00;8363.00
1724251414.798;400;109.00;2.00
1724251414.848;400;109.00;2.00
1724251414.898;400;109.00;2.00
1724251414.948;400;106.00;144.00
1724251414.998;400;109.00;2.00
1724251415.047;400;109.00;2.00
1724251415.098;400;109.00;2.00
1724251415.148;400;109.00;2.00
1724251415.198;400;102.00;8084.00
1724251415.249;400;102.00;8084.00
1724251415.299;400;102.00;8084.00
1724251415.348;400;104.00;5991.00
1724251415.398;400;104.00;6563.00
1724251415.448;400;104.00;6563.00
1724251415.498;400;109.00;2.00
1724251415.549;400;101.00;3857.00
1724251415.599;400;109.00;2.00
1724251415.649;400;109.00;2.00
1724251415.699;400;108.00;9151.00
1724251415.749;400;106.00;1678.00
1724251415.799;400;109.00;2.00
1724251415.849;400;109.00;2.00
1724251415.899;400;109.00;2.00
1724251415.949;400;101.00;2197.00
1724251415.999;400;103.00;367.00
1724251416.049;400;103.00;367.00
1724251416.099;400;103.00;367.00
1724251416.149;400;109.00;2.00
1724251416.199;400;104.00;9163.00
1724251416.249;400;104.00;9163.00
1724251416.299;400;104.00;9163.00
1724251416.350;400;109.00;2.00
1724251416.400;400;103.00;4073.00
1724251416.450;400;103.00;4073.00
1724251416.500;400;103.00;4073.00
1724251416.550;400;103.00;6834.00
1724251416.600;400;105.00;4687.00
1724251416.650;400;105.00;4687.00
1724251416.700;400;105.00;4687.00
1724251416.750;400;109.00;2.00
1724251416.800;400;104.00;3374.00
1724251416.850;400;104.00;3374.00
1724251416.900;400;105.00;4392.00
1724251416.950;400;103.00;6999.00
1724251417.000;400;103.00;6999.00
1724251417.050;400;103.00;6999.00
1724251417.100;400;103.00;6999.00
1724251417.150;400;104.00;2022.00
